_,USPS,ST,NAME,ZCTA5,LAT,LON
230,,ACT,ANU,200,-35.2777,149.119
21820,,ACT,Australian National University,200,-35.2777,149.1189
232,Northern Territory,NT,DARWIN,800,-12.458684,130.83668
24049,Northern Territory,NT,DARWIN CITY,800,-12.458684,130.83668
233,,NT,DARWIN,801,-12.458684,130.83668
24055,,NT,WAGAIT BEACH,803,0,0
234,,NT,PARAP,804,-12.428017,130.873315
235,Northern Territory,NT,ALAWA,810,-12.381806,130.866242
236,Northern Territory,NT,BRINKIN,810,-12.381806,130.866242
237,Northern Territory,NT,CASUARINA,810,-12.381806,130.866242
19972,Northern Territory,NT,COCONUT GROVE,810,-12.39614166,130.8502369
239,Northern Territory,NT,JINGILI,810,-12.381806,130.866242
240,Northern Territory,NT,LEE POINT,810,-12.381806,130.866242
19973,Northern Territory,NT,LYONS,810,-12.35911956,130.8885151
241,Northern Territory,NT,MILLNER,810,-12.381806,130.866242
242,Northern Territory,NT,MOIL,810,-12.381806,130.866242
19974,Northern Territory,NT,MUIRHEAD,810,-12.35811947,130.8959029
243,Northern Territory,NT,NAKARA,810,-12.381806,130.866242
244,Northern Territory,NT,NIGHTCLIFF,810,-12.381806,130.866242
245,Northern Territory,NT,RAPID CREEK,810,-12.381806,130.866242
246,Northern Territory,NT,TIWI,810,-12.381806,130.866242
247,Northern Territory,NT,WAGAMAN,810,-12.381806,130.866242
248,Northern Territory,NT,WANGURI,810,-12.381806,130.866242
249,,NT,CASUARINA,811,-12.381806,130.866242
19975,Northern Territory,NT,ANULA,812,-12.39124885,130.89047
19976,Northern Territory,NT,BUFFALO CREEK,812,-12.34638634,130.9209831
19977,Northern Territory,NT,HOLMES,812,-12.38479951,130.9268602
251,Northern Territory,NT,KARAMA,812,-12.404778,130.916098
252,Northern Territory,NT,LEANYER,812,-12.404778,130.916098
253,Northern Territory,NT,MALAK,812,-12.404778,130.916098
254,Northern Territory,NT,MARRARA,812,-12.404778,130.916098
255,Northern Territory,NT,NORTHLAKES,812,-12.404778,130.916098
256,Northern Territory,NT,SANDERSON,812,-12.404778,130.916098
257,Northern Territory,NT,WOODLEIGH GARDENS,812,-12.404778,130.916098
258,Northern Territory,NT,WULAGI,812,-12.404778,130.916098
24056,,NT,KARAMA,813,-12.404778,130.916098
259,,NT,SANDERSON,813,-12.404778,130.916098
260,,NT,NIGHTCLIFF,814,-12.381806,130.866242
261,Northern Territory,NT,CHARLES DARWIN UNIVERSITY,815,-12.3718,130.869
262,Northern Territory,NT,BAGOT,820,-12.428017,130.873315
263,Northern Territory,NT,BAYVIEW,820,-12.428017,130.873315
