_,id,name,address,city,state,zip,country,phone,type,ownership,emergency,quality,LAT,LON
1,1,Abbotsford Private Hospital,61 Cambridge Street,West Leederville,WA,6007,Australia,08 9200 6282,Private,,No,,-31.940992,115.837344
2,2,Adelaide Clinic,33 Park Terrace,Gilberton,SA,5081,Australia,08 8269 8100,Private,,No,,-34.90658,138.613167
3,3,Adelaide Day Surgery Pty Ltd,18 North Terrace,Adelaide,SA,5000,Australia,08 8239 4900,Private,,No,,-34.922409,138.588817
4,4,Adelaide Eye & Laser Centre,215 Greenhill Road,Eastwood,SA,5063,Australia,08 8274 7000,Private,,No,,-34.94042,138.6215
5,5,Adelaide Surgicentre,89 King William Street,Kent Town,SA,5067,Australia,08 8211 0000,Private,,No,,-34.917691,138.621022
6,6,Aesthetic Day Surgery,14 Kensington Street,Kogarah,NSW,2217,Australia,02 9553 9905,Private,,No,,-33.964843,151.135032
7,7,Albany Hospital,Warden Avenue,Albany,WA,6330,Australia,08 9892 2222,Public,,Yes,,-35.003407,117.904468
8,8,Albert Road Clinic,31 Albert Road,Melbourne,Vic,3004,Australia,03 9256 8311,Private,,No,,-37.834246,144.972151
9,9,Albury Wodonga Health [Albury Campus],201 Borella Road,Albury,NSW,2640,Australia,02 6058 4444,Public,,Yes,,-36.078401,146.939146
10,10,Albury Wodonga Health [Wodonga Campus],69 Vermont Street,Wodonga,Vic,3690,Australia,02 6051 7111,Public,,Yes,,-36.131791,146.879417
11,11,Albury Wodonga Private Hospital,1125 Pemberton Street,West Albury,NSW,2640,Australia,02 6041 1411,Private,,No,,-36.075621,146.883177
12,12,Alexandra District Hospital,12 Cooper Street,Alexandra,Vic,3714,Australia,03 5772 0900,Public,,No,,-37.195065,145.716143
13,13,Alice Springs Hospital,6 Gap Road,Alice Springs,NT,870,Australia,08 8951 7777,Public,,Yes,,-23.705758,133.878064
14,14,Allowah Presbyterian Children's Hospital,8 Perry Street,Dundas,NSW,2117,Australia,02 9858 4994,Private,,No,,-33.791787,151.06387
15,15,Alpha Hospital,1 Burns Street,Alpha,Qld,4724,Australia,07 4809 7000,Public,,No,,-23.649039,146.632962
16,16,Alpine Health [Bright],36-42 Cobden Street,Bright,Vic,3741,Australia,03 5755 0100,Public,,No,,-36.732701,146.965924
17,17,Alpine Health [Mount Beauty],10 Hollonds Street,Mt Beauty,Vic,3699,Australia,03 5754 3500,Public,,No,,-36.743354,147.169359
18,18,Alpine Health [Myrtleford],30 O'Donnell Avenue,Myrtleford,Vic,3736,Australia,03 5751 9300,Public,,No,,-36.554525,146.728795
19,19,Angaston District Hospital,29 North Street,Angaston,SA,5353,Australia,08 8563 8500,Public,,No,,-34.503549,139.054715
20,20,Angliss Hospital,Albert Street,Upper Ferntree Gully,Vic,3156,Australia,1300 342 255,Public,,Yes,,-37.898663,145.314166
21,21,Armadale-Kelmscott Memorial Hospital,3056 Albany Highway,Armadale,WA,6112,Australia,08 9391 2000,Public,,Yes,,-32.133212,116.020023
22,22,Armidale Hospital,226 Rusden Street,Armidale,NSW,2350,Australia,02 6776 9500,Public,,Yes,,-30.512726,151.655629
23,23,Armidale Private Hospital,Rusden Street,Armidale,NSW,2350,Australia,02 6771 4000,Private,,No,,-30.512719,151.654565
24,24,Ashford Hospital,55 Anzac Highway,Ashford,SA,5035,Australia,08 8375 5222,Private,,No,,-34.948142,138.576725
25,25,Atherton Hospital,Corner of Louise and Jack Streets,Atherton,Qld,4883,Australia,07 4091 0211,Public,,No,,-17.266635,145.483177
26,26,Attadale Rehabilitation Hospital,21 Hislop Road,Attadale,WA,6156,Australia,08 9330 1000,Private,,No,,-32.029729,115.810669
27,27,Auburn Hospital,18-20 Hargrave Road,Auburn,NSW,2144,Australia,02 8759 3000,Public,,Yes,,-33.859867,151.033204
28,28,Augathella Hospital,Cavanagh Street,Augathella,Qld,4477,Australia,07 4656 7100,Public,,No,,-25.796104,146.590919
29,29,Augusta Hospital,Donovan Street,Augusta,WA,6290,Australia,08 9758 3222,Public,,No,,-34.305814,115.157983
30,30,Austin Hospital [Heidelberg],145 Studley Road,Heidelberg,Vic,3084,Australia,03 9496 5000,Public,,Yes,,-37.756355,145.060236
31,31,Ayr Hospital,2 Chippendale Street,Ayr,Qld,4807,Australia,07 4783 0855,Public,,No,,-19.564066,147.408821
32,32,Babinda Hospital,128 Munro Street,Babinda,Qld,4861,Australia,07 4067 8200,Public,,No,,-17.343079,145.918908
33,33,Baillie Henderson Hospital,Corner of Hogg and Tor Streets,Toowoomba,Qld,4350,Australia,07 4699 8888,Public,,No,,-27.524371,151.936283
34,34,Bairnsdale Regional Health Service,122 Day Street,Bairnsdale,Vic,3875,Australia,03 5150 3333,Public,,Yes,,-37.830814,147.607905
35,35,Balaklava Soldiers' Memorial District Hospital,16 War Memorial Drive,Balaklava,SA,5461,Australia,08 8862 1400,Public,,No,,-34.139594,138.419596
36,36,Ballarat Day Procedure Centre,1119-1123 Howitt Street,Wendouree,Vic,3350,Australia,03 5338 2666,Private,,No,,-37.540799,143.83214
37,37,Ballarat Health Services [Base Campus],1 Dummond Street North,Ballarat Central,Vic,3350,Australia,03 5320 4000,Public,,Yes,,-37.559658,143.847041
38,38,Ballarat Health Services [Queen Elizabeth Campus],102 Ascot Street,Ballarat,Vic,3350,Australia,03 5320 3700,Public,,No,,-37.564276,143.843264
39,39,Ballina Day Surgery,"Suite 6, 46 Tamar Street",Ballina,NSW,2478,Australia,02 6681 9999,Private,,No,,-28.870711,153.563241
40,40,Ballina Hospital,78-92 Cherry Street,Ballina,NSW,2478,Australia,02 6686 2111,Public,,Yes,,-28.863525,153.564013
41,41,Balmain Hospital,29 Booth Street,Balmain,NSW,2041,Australia,02 9395 2111,Public,,No,,-33.859469,151.181469
42,42,Balranald Multi Purpose Service,41-43 Court Street,Balranald,NSW,2715,Australia,03 5071 9800,Public,,Yes,,-34.644549,143.568413
43,43,Bamaga Hospital,Sagaukaz Street,Bamaga,Qld,4876,Australia,07 4069 3166,Public,,No,,-10.893996,142.385131
44,44,Bankstown Lidcombe Hospital,68 Eldridge Road,Bankstown,NSW,2200,Australia,02 9722 8000,Public,,Yes,,-33.933088,151.020823
45,45,Baradine Multi Purpose Service,5-9 Macquarie Street,Baradine,NSW,2396,Australia,02 6843 4100,Public,,Yes,,-30.945316,149.066189
46,46,Baralaba Hospital,Stopford Street,Baralaba,Qld,4702,Australia,07 4998 2800,Public,,No,,-24.184268,149.809586
47,47,Barcaldine Hospital,Oak Street,Barcaldine,Qld,4725,Australia,07 4650 4000,Public,,No,,-23.553316,145.293674
48,48,Barham Hospital,70 Punt Road,Barham,NSW,2732,Australia,03 5451 1000,Public,,Yes,,-35.623823,144.133479
49,49,Baringa Private Hospital,31 Mackays Road,Coffs Harbour,NSW,2450,Australia,02 6659 4444,Private,,No,,-30.278813,153.102893
50,50,Barmera Health Service,Hawdon Street,Barmera,SA,5345,Australia,08 8588 0400,Public,,No,,-34.249146,140.471706
51,51,Barraba Multi Purpose Service,Edward Street,Barraba,NSW,2347,Australia,02 6782 2500,Public,,Yes,,-30.382482,150.605778
52,52,Bass Coast Regional Health,235 Graham Street,Wonthaggi,Vic,3995,Australia,03 5671 3333,Public,,Yes,,-38.608747,145.580906
53,53,Batemans Bay Hospital,7 Pacific Street,Batemans Bay,NSW,2536,Australia,02 4475 1500,Public,,Yes,,-35.714055,150.182375
54,54,Bathurst Health Service,361-365 Howick Street,Bathurst,NSW,2795,Australia,02 6330 5311,Public,,Yes,,-33.406512,149.572699
55,55,Bathurst Private Hospital,Gorman's Hill Road,Bathurst,NSW,2795,Australia,02 6331 7766,Private,,No,,-33.435215,149.589242
56,56,Batlow/Adelong Multi Purpose Service,61-81 Pioneer Street,Batlow,NSW,2730,Australia,02 6941 4333,Public,,Yes,,-35.521951,148.147891
57,57,Beaconsfield District Health Service,13 Bolton Street,Beaconsfield,Tas,7270,Australia,03 6702 6060,Public,,No,,-41.193478,146.806719
58,58,Beaudesert Hospital,64 Tina Street,Beaudesert,Qld,4285,Australia,07 5541 9111,Public,,No,,-27.984869,153.002536
